source_device,tweet_language,avg_favorites,avg_hashtag_count
"<a href=\"https://publer.io\" rel=\"nofollow\">Publer.io</a>",en,0.0,1.0
"<a href=\"https://climatechangefacts.com\" rel=\"nofollow\">Climate Change Fact Check</a>",en,0.0,0.6666666666666666
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",ar,0.0,0.6666666666666666
"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>",fr,0.0,0.625
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">OTwikibot</a>",ja,0.0,3.0
"<a href=\"https://getreal360.com\" rel=\"nofollow\">GetReal360</a>",en,0.0,1.0
"<a href=\"https://biztoc.com/\" rel=\"nofollow\">BizToc.com News</a>",en,0.0,6.0
"<a href=\"https://missinglettr.com\" rel=\"nofollow\">Missinglettr</a>",en,0.0,5.0
"<a href=\"https://omnihanded.com\" rel=\"nofollow\">Omnihanded MrSkanner App</a>",en,0.0,1.375
"<a href=\"https://www.titrespresse.com\" rel=\"nofollow\">Titrespresse.com to Twitter</a>",fr,0.0,1.5
"<a href=\"https://www.worldeconomics.com\" rel=\"nofollow\">ShadowTweetWE</a>",en,0.0,2.0
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",th,0.0,1.0
"<a href=\"https://lightful.com\" rel=\"nofollow\">Lightful</a>",en,0.0,3.0
"<a href=\"https://revive.social/\" rel=\"nofollow\">Revive Social App</a>",it,0.0,1.0
"<a href=\"http://www.littlemsmobile.com\" rel=\"nofollow\">CareMo News</a>",en,0.0,3.3333333333333335
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",hu,0.0,0.5
"<a href=\"http://www.linkedin.com/\" rel=\"nofollow\">LinkedIn</a>",it,0.0,5.0
"<a href=\"https://omnihanded.com\" rel=\"nofollow\">Omnihanded Interactive News</a>",en,0.0,1.375
"<a href=\"http://www.oneupapp.io\" rel=\"nofollow\">OneUp App</a>",und,0.0,26.0
"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>",in,0.0,0.6666666666666666
"<a href=\"http://sam-song.info\" rel=\"nofollow\">SAM Broadcaster Song Info</a>",cs,0.0,2.0
